Datetime (UTC),Temperature (deg C),Pressure (hPa)
20240212_014339,22.03,1010.37
20240212_014342,22.38,1011.81
20240212_014345,22.00,1005.65
20240212_014348,22.12,1003.77
20240212_014351,22.04,1009.81
20240212_014354,22.07,1006.40
20240212_014357,22.02,1013.58
20240212_014400,21.95,1008.14
20240212_014403,22.20,1003.05
20240212_014406,21.97,1012.14
20240212_014409,22.03,1007.63
20240212_014412,22.12,1006.43
20240212_014415,22.09,1020.03
20240212_014418,22.26,1010.89
20240212_014421,22.11,1001.26
20240212_014424,22.14,1016.11
20240212_014427,22.05,1010.88
20240212_014430,22.06,1010.78
20240212_014433,21.99,1005.17
20240212_014436,22.10,1009.19
20240212_014439,22.11,1007.55
20240212_014442,21.93,1013.23
20240212_014445,21.95,1008.45
20240212_014448,22.01,1016.37
20240212_014451,22.09,1013.92
20240212_014454,22.05,1012.15
20240212_014457,22.07,1002.62
20240212_014500,22.23,997.49
20240212_014503,22.10,1017.11
20240212_014506,22.04,1007.45
20240212_014509,22.03,1013.65
20240212_014512,22.18,1002.24
20240212_014515,21.94,1008.63
20240212_014518,22.00,1010.21
20240212_014521,22.14,1003.80
20240212_014524,22.01,995.72
20240212_014527,22.23,1009.01
20240212_014530,22.29,1005.75
20240212_014533,22.02,1005.93
20240212_014536,22.01,1009.01
20240212_014539,22.17,1013.13
20240212_014542,22.13,1006.00
20240212_014545,22.09,1003.74
20240212_014548,22.04,1001.20
20240212_014551,22.18,1013.77
20240212_014554,22.19,1008.53
20240212_014557,22.30,1005.02
20240212_014600,22.00,1006.42
20240212_014603,22.24,1016.87
20240212_014606,22.13,1015.37
20240212_014609,22.21,1008.45
20240212_014612,22.23,1010.98
20240212_014615,22.25,1005.25
20240212_014618,22.14,1012.73
20240212_014621,22.15,1004.30
20240212_014624,22.26,1011.86
20240212_014627,22.20,1013.31
20240212_014630,22.14,1010.59
20240212_014633,22.17,1005.47
20240212_014636,22.14,1013.32
20240212_014639,21.97,1005.37
20240212_014642,22.15,1001.83
20240212_014645,22.21,1008.73
20240212_014648,22.08,1015.89
20240212_014651,22.06,1010.78
20240212_014654,22.26,1007.31
20240212_014657,22.25,1010.00
20240212_014700,22.37,1001.93
20240212_014703,22.14,1016.13
20240212_014706,22.16,1003.29
20240212_014709,22.23,1006.41
20240212_014712,22.37,1009.08
20240212_014715,22.17,1003.32
20240212_014718,22.27,1011.87
20240212_014721,22.26,1015.15
20240212_014724,22.27,1012.91
20240212_014727,22.28,1012.10
20240212_014730,22.27,1005.61
20240212_014733,22.32,1005.46
20240212_014736,22.21,1009.61
20240212_014739,22.21,1012.72
20240212_014742,22.16,999.89
20240212_014745,21.99,1014.36
20240212_014748,22.18,1014.72
20240212_014751,22.14,1001.49
20240212_014754,22.05,1002.64
20240212_014757,22.21,1014.50
20240212_014800,22.21,998.98
20240212_014803,22.23,1003.45
20240212_014806,22.18,1004.20
20240212_014809,22.28,1009.26
20240212_014812,22.37,1011.30
20240212_014815,22.09,1006.24
20240212_014818,22.27,1018.28
20240212_014821,22.26,1009.58
20240212_014824,22.15,1011.12
20240212_014827,22.15,1000.13
20240212_014830,22.41,1015.94
20240212_014833,22.33,1011.86
20240212_014836,22.09,1004.47
20240212_014839,22.31,1006.12
20240212_014842,22.34,1005.84
20240212_014845,22.27,1005.28
20240212_014848,22.15,1009.15
20240212_014851,22.01,1005.36
20240212_014854,22.24,1007.98
20240212_014857,22.24,999.50
20240212_014900,22.13,1000.05
20240212_014903,22.26,1010.52
20240212_014906,22.06,1006.40
20240212_014909,22.36,1006.13
20240212_014912,22.14,1002.35
20240212_014915,22.29,998.26
20240212_014918,22.27,1009.68
20240212_014921,22.31,1012.99
20240212_014924,22.18,1008.23
20240212_014927,22.18,1005.08
20240212_014930,22.19,1016.67
20240212_014933,22.35,1007.75
20240212_014936,22.32,1008.26
20240212_014939,22.34,1009.92
20240212_014942,22.39,1016.70
20240212_014945,22.45,1011.26
20240212_014948,22.40,1009.28
20240212_014951,22.31,999.56
20240212_014954,22.38,1008.74
20240212_014957,22.38,1012.32
20240212_015000,22.16,1006.30
20240212_015003,22.26,1008.20
20240212_015006,22.33,1011.59
20240212_015009,22.22,1010.52
20240212_015012,22.25,1009.55
20240212_015015,22.25,1009.77
20240212_015018,22.34,1001.75
20240212_015021,22.48,1005.16
20240212_015024,22.22,1002.39
20240212_015027,22.43,1008.58
20240212_015030,22.47,1011.35
20240212_015033,22.34,1008.13
20240212_015036,22.19,1007.34
20240212_015039,22.23,1016.49
20240212_015042,22.41,1003.65
20240212_015045,22.40,1006.12
20240212_015048,22.35,1002.97
20240212_015051,22.35,1011.96
20240212_015054,22.21,1001.27
20240212_015057,22.36,1010.93
20240212_015100,22.29,1007.68
20240212_015103,22.27,999.56
20240212_015106,22.24,1008.36
20240212_015109,22.48,1007.34
20240212_015112,22.29,1007.34
20240212_015115,22.20,1006.36
20240212_015118,22.46,1010.65
20240212_015121,22.31,1005.01
20240212_015124,22.37,1014.96
20240212_015127,22.57,999.77
20240212_015130,22.36,1008.75
20240212_015133,22.10,1006.93
20240212_015136,22.34,1011.66
20240212_015139,22.37,1014.05
20240212_015142,22.47,1009.98
20240212_015145,22.42,1011.41
20240212_015148,22.56,1011.52
20240212_015151,22.34,1018.77
20240212_015154,22.45,1011.90
20240212_015157,22.34,1013.20
20240212_015200,22.55,1005.01
20240212_015203,22.02,1010.15
20240212_015206,22.29,1007.63
20240212_015209,22.44,1006.02
20240212_015212,22.38,1002.48
20240212_015215,22.52,1009.20
20240212_015218,22.38,1010.86
20240212_015221,22.34,1005.87
20240212_015224,22.34,1010.42
20240212_015227,22.35,1007.70
20240212_015230,22.40,1014.87
20240212_015233,22.46,1004.71
20240212_015236,22.51,1004.69
20240212_015239,22.41,1002.29
20240212_015242,22.36,1011.53
20240212_015245,22.72,1003.49
20240212_015248,22.46,1005.55
20240212_015251,22.36,1007.50
20240212_015254,22.42,1024.22
20240212_015257,22.53,1005.99
20240212_015300,22.43,1018.25
20240212_015303,22.36,1007.65
20240212_015307,22.25,1012.91
20240212_015310,22.39,1004.87
20240212_015313,22.48,1012.20
20240212_015316,22.43,1010.72
20240212_015319,22.27,1001.32
20240212_015322,22.33,1008.46
20240212_015325,22.43,1005.53
20240212_015328,22.52,1002.74
20240212_015331,22.68,1013.41
20240212_015334,22.49,1020.01
20240212_015337,22.65,1001.94
20240212_015340,22.45,1011.48
20240212_015343,22.46,1009.63
20240212_015346,22.42,1014.91
20240212_015349,22.56,1009.76
20240212_015352,22.45,1012.90
20240212_015355,22.52,1013.61
20240212_015358,22.36,1011.46
20240212_015401,22.37,1005.07
20240212_015404,22.43,1002.14
20240212_015407,22.61,1003.33
20240212_015410,22.60,1015.92
20240212_015413,22.43,1005.29
20240212_015416,22.51,1012.38
20240212_015419,22.47,1013.71
20240212_015422,22.32,1014.10
20240212_015425,22.48,1006.79
20240212_015428,22.63,1015.86
20240212_015431,22.64,1002.35
20240212_015434,22.43,1012.28
20240212_015437,22.58,1005.61
20240212_015440,22.47,1013.00
20240212_015443,22.35,1004.58
20240212_015446,22.34,1007.37
20240212_015449,22.72,1009.06
20240212_015452,22.40,1008.25
20240212_015455,22.39,1010.58
20240212_015458,22.53,997.59
20240212_015501,22.54,1007.07
20240212_015504,22.65,1009.67
20240212_015507,22.51,1008.51
20240212_015510,22.58,1005.44
20240212_015513,22.41,1007.18
20240212_015516,22.36,1009.50
20240212_015519,22.47,1009.25
20240212_015522,22.42,1004.88
20240212_015525,22.55,1010.90
20240212_015528,22.62,1006.50
20240212_015531,22.72,1010.85
20240212_015534,22.48,1013.07
20240212_015537,22.56,1008.22
20240212_015540,22.45,1010.67
20240212_015543,22.52,1002.31
20240212_015546,22.35,1008.04
20240212_015549,22.53,1005.01
20240212_015552,22.49,1009.14
20240212_015555,22.41,1008.36
20240212_015558,22.47,997.37
20240212_015601,22.40,1005.10
20240212_015604,22.69,1006.83
20240212_015607,22.45,1009.11
20240212_015610,22.38,1012.47
20240212_015613,22.45,1005.35
20240212_015616,22.46,1008.18
20240212_015619,22.49,1005.26
20240212_015622,22.44,1013.94
20240212_015625,22.49,1007.83
20240212_015628,22.67,1012.00
20240212_015631,22.72,1010.06
20240212_015634,22.65,1011.77
20240212_015637,22.63,1002.26
20240212_015640,22.43,1007.32
20240212_015643,22.49,1009.99
20240212_015646,22.60,1011.25
20240212_015649,22.54,1005.56
20240212_015652,22.62,1015.14
20240212_015655,22.65,1014.97
20240212_015658,22.68,1010.55
20240212_015701,22.66,1007.90
20240212_015704,22.46,1013.01
20240212_015707,22.61,1011.53
20240212_015710,22.40,996.90
20240212_015713,22.56,1009.18
20240212_015716,22.67,1011.11
20240212_015719,22.67,1013.11
20240212_015722,22.65,1008.13
20240212_015725,22.75,1002.02
20240212_015728,22.56,1011.66
20240212_015731,22.48,1014.65
20240212_015734,22.67,1002.83
20240212_015737,22.49,1013.45
20240212_015740,22.57,1008.04
20240212_015743,22.68,1010.17
20240212_015746,22.63,1002.05
20240212_015749,22.55,1002.91
20240212_015752,22.59,1004.81
20240212_015755,22.48,1007.05
20240212_015758,22.58,1003.71
20240212_015801,22.71,998.01
20240212_015804,22.55,1013.36
20240212_015807,22.58,1005.07
20240212_015810,22.72,1005.93
20240212_015813,22.50,1006.28
20240212_015816,22.43,1006.01
20240212_015819,22.58,1010.90
20240212_015822,22.52,1015.74
20240212_015825,22.70,1002.45
20240212_015828,22.78,1001.27
20240212_015831,22.67,1006.05
20240212_015834,22.60,1011.39
20240212_015837,22.80,1004.63
20240212_015840,22.78,1011.81
20240212_015843,22.66,1008.81
20240212_015846,22.70,1003.62
20240212_015849,22.65,1005.80
20240212_015852,22.76,1013.46
20240212_015855,22.71,1003.62
20240212_015858,22.80,1008.80
20240212_015901,22.62,995.59
20240212_015904,22.56,1015.14
20240212_015907,22.65,1007.78
20240212_015910,22.74,1006.53
20240212_015913,22.61,1002.57
20240212_015916,22.76,1002.92
20240212_015919,22.60,1006.10
20240212_015922,22.61,999.13
20240212_015925,22.81,1005.85
20240212_015928,22.82,1009.63
20240212_015931,22.73,1004.48
20240212_015934,22.69,1006.00
20240212_015937,22.54,1012.82
20240212_015940,22.81,1007.90
20240212_015943,22.59,1008.50
20240212_015946,22.66,1007.65
20240212_015949,22.62,1013.01
20240212_015952,22.74,1005.72
20240212_015955,22.65,1010.43
20240212_015958,22.64,1014.59
20240212_020001,22.83,1007.64
20240212_020004,22.58,999.15
20240212_020007,22.70,1009.14
20240212_020010,22.55,1011.15
20240212_020013,22.84,1012.44
20240212_020016,22.65,1001.69
20240212_020019,22.73,1007.45
20240212_020022,22.83,1007.87
20240212_020025,22.80,997.30
20240212_020028,22.78,1012.77
20240212_020031,22.66,1001.59
20240212_020034,22.53,1009.15
20240212_020037,22.66,1010.54
20240212_020040,22.58,1005.63
20240212_020043,22.84,1007.84
20240212_020046,22.65,1006.68
20240212_020049,22.76,1006.67
20240212_020052,22.65,1011.01
20240212_020055,22.73,999.09
20240212_020058,22.86,998.20
20240212_020101,22.68,1007.22
20240212_020104,22.94,1004.68
20240212_020107,22.84,1006.83
20240212_020110,22.52,1007.65
20240212_020113,22.65,1000.52
20240212_020116,22.88,1011.50
20240212_020119,22.92,1019.31
20240212_020122,22.61,1005.70
20240212_020125,22.76,1008.56
20240212_020128,22.82,1009.27
20240212_020131,22.69,1003.84
20240212_020134,22.77,1012.75
20240212_020137,22.86,1011.79
20240212_020140,22.62,1000.63
20240212_020143,22.73,1011.09
20240212_020146,22.79,1005.56
20240212_020149,22.72,1015.25
20240212_020152,22.83,1009.41
20240212_020155,22.72,999.48
20240212_020158,22.75,1005.52
20240212_020201,22.76,997.66
20240212_020204,22.64,1005.96
20240212_020207,22.66,1003.89
20240212_020210,22.81,1021.74
20240212_020213,22.74,997.95
20240212_020216,22.84,1007.86
20240212_020219,22.72,1013.45
20240212_020222,22.65,1004.43
20240212_020225,22.75,1005.46
20240212_020228,22.73,1009.27
20240212_020231,23.06,1008.70
20240212_020234,22.88,1009.78
20240212_020237,22.83,1003.28
20240212_020240,22.78,1012.61
20240212_020243,22.80,1001.34
20240212_020246,22.70,1009.86
20240212_020249,22.79,1001.52
20240212_020252,22.95,1002.90
20240212_020255,22.70,1011.17
20240212_020258,22.62,1008.31
20240212_020301,22.81,1013.44
20240212_020304,22.86,1011.67
20240212_020307,22.77,1007.61
20240212_020310,22.83,1001.32
20240212_020313,22.87,1006.35
20240212_020316,22.80,1013.25
20240212_020319,22.85,1004.05
20240212_020322,22.92,1010.30
20240212_020325,22.82,1011.10
20240212_020328,22.93,1002.45
20240212_020331,22.73,1013.03
20240212_020334,22.88,1006.93
20240212_020337,22.65,1011.61
20240212_020340,22.77,1010.62
20240212_020343,22.86,1007.74
20240212_020346,22.87,1007.70
20240212_020349,22.91,1004.51
20240212_020352,22.94,1013.02
20240212_020355,22.97,1004.70
20240212_020358,22.88,1012.87
20240212_020401,22.97,1006.67
20240212_020404,22.90,1011.78
20240212_020407,22.83,1016.09
20240212_020410,22.88,1009.18
20240212_020413,22.81,1005.94
20240212_020416,22.88,1007.05
20240212_020419,22.83,1006.17
20240212_020422,22.89,1007.07
20240212_020425,22.58,1005.57
20240212_020428,22.89,1004.52
20240212_020431,22.62,1013.44
20240212_020434,22.79,1012.19
20240212_020437,22.88,1007.11
20240212_020440,22.83,1001.86
20240212_020443,23.07,996.53
20240212_020446,22.74,1015.25
20240212_020449,22.83,1007.49
20240212_020452,22.81,1010.73
20240212_020455,22.99,1009.07
20240212_020458,22.87,1002.99
20240212_020501,22.88,999.36
20240212_020504,22.80,1001.20
20240212_020507,22.80,1003.97
20240212_020510,23.07,1006.22
20240212_020513,22.86,1009.43
20240212_020516,22.91,1004.02
20240212_020519,22.86,1015.20
20240212_020522,22.81,1008.01
20240212_020525,22.94,1006.68
20240212_020528,23.13,1008.86
20240212_020531,22.88,1015.43
20240212_020534,23.04,1008.97
20240212_020537,22.83,1005.29
20240212_020540,22.94,1009.03
20240212_020543,23.07,1008.55
20240212_020546,22.94,1009.51
20240212_020549,22.82,1006.53
20240212_020552,23.05,1011.07
20240212_020555,22.78,1017.73
20240212_020558,22.94,1014.27
20240212_020601,22.89,1003.44
20240212_020604,22.89,1009.09
20240212_020607,23.05,998.25
20240212_020610,22.75,1006.60
20240212_020613,23.00,1003.05
20240212_020616,22.87,1014.26
20240212_020619,22.92,1006.03
20240212_020622,23.04,1004.08
20240212_020625,22.86,1009.52
20240212_020628,22.91,1001.91
20240212_020631,22.88,1006.95
20240212_020635,23.09,1010.78
20240212_020638,22.81,1016.67
20240212_020641,22.83,1000.30
20240212_020644,22.95,996.96
20240212_020647,22.96,1007.25
20240212_020650,22.95,1014.25
20240212_020653,22.78,1004.43
20240212_020656,23.01,1004.89
20240212_020659,22.90,1010.50
20240212_020702,22.98,1011.55
20240212_020705,23.10,1007.22
20240212_020708,22.96,1003.83
20240212_020711,23.01,1008.94
20240212_020714,22.96,1008.91
20240212_020717,22.96,1005.54
20240212_020720,23.03,1010.52
20240212_020723,22.97,1011.32
20240212_020726,23.04,1008.30
20240212_020729,22.88,1009.76
20240212_020732,23.02,1018.99
20240212_020735,23.06,1003.45
20240212_020738,23.07,1019.22
20240212_020741,22.97,1003.49
20240212_020744,23.15,1011.94
20240212_020747,23.11,1006.53
20240212_020750,22.89,1013.76
20240212_020753,23.01,1013.56
20240212_020756,23.05,1010.72
20240212_020759,23.12,1009.58
20240212_020802,22.82,1003.01
20240212_020805,22.97,1015.83
20240212_020808,22.94,1000.36
20240212_020811,23.04,1010.83
20240212_020814,22.98,1009.65
20240212_020817,23.04,1009.29
20240212_020820,23.01,1010.69
20240212_020823,22.88,1011.07
20240212_020826,23.23,1006.07
20240212_020829,23.10,1006.22
20240212_020832,22.99,1009.66
20240212_020835,22.92,1011.03
20240212_020838,22.94,1013.52
20240212_020841,23.00,1005.30
20240212_020844,23.02,1001.55
20240212_020847,23.19,1001.66
20240212_020850,23.10,1004.72
20240212_020853,23.04,1012.92
20240212_020856,23.02,997.37
20240212_020859,23.12,1012.45
20240212_020902,23.15,1011.54
20240212_020905,22.98,1002.60
20240212_020908,23.00,1018.88
20240212_020911,22.80,1007.78
20240212_020914,22.91,1013.30
20240212_020917,23.11,1007.35
20240212_020920,23.10,1008.95
20240212_020923,22.91,1002.31
20240212_020926,23.00,1008.69
20240212_020929,23.03,1012.98
20240212_020932,22.94,1005.80
20240212_020935,22.93,1008.67
20240212_020938,23.07,1011.26
20240212_020941,22.96,1000.84
20240212_020944,23.02,1005.99
20240212_020947,23.08,1007.95
20240212_020950,23.00,1008.23
20240212_020953,23.30,1006.19
20240212_020956,23.03,1009.10
20240212_020959,23.25,1005.69
20240212_021002,23.15,1018.76
20240212_021005,23.16,1000.05
20240212_021008,23.18,1007.68
20240212_021011,22.93,1007.72
20240212_021014,23.00,1004.02
20240212_021017,23.10,1007.20
20240212_021020,23.12,1010.85
20240212_021023,23.07,1010.13
20240212_021026,22.86,1013.94
20240212_021029,23.16,1010.65
20240212_021032,23.25,1006.29
20240212_021035,23.00,1020.65
20240212_021038,23.09,1009.28
20240212_021041,23.26,995.38
20240212_021044,23.05,1009.00
20240212_021047,23.10,999.91
20240212_021050,22.99,1008.07
20240212_021053,23.12,1005.93
20240212_021056,23.08,999.90
20240212_021059,23.03,1003.71
20240212_021102,23.12,1008.57
20240212_021105,23.01,1010.12
20240212_021108,23.16,1003.56
20240212_021111,23.18,1011.36
20240212_021114,23.26,999.65
20240212_021117,23.35,1005.50
20240212_021120,23.09,1005.62
20240212_021123,23.13,1009.76
20240212_021126,23.04,1003.92
20240212_021129,23.05,998.63
20240212_021132,22.99,998.68
20240212_021135,23.05,1011.52
20240212_021138,23.25,1005.25
20240212_021141,23.00,1006.21
20240212_021144,23.03,1012.74
20240212_021147,23.21,1017.06
20240212_021150,22.99,1010.88
20240212_021153,23.27,1001.16
20240212_021156,23.31,999.96
20240212_021159,23.06,1004.07
20240212_021202,23.25,1012.18
20240212_021205,23.09,1004.96
20240212_021208,23.13,1012.90
20240212_021211,23.14,1008.40
20240212_021214,23.14,1000.37
20240212_021217,23.28,999.68
20240212_021220,23.19,1012.88
20240212_021223,23.21,1003.73
20240212_021226,23.25,1009.28
20240212_021229,23.37,1007.48
20240212_021232,23.07,1001.75
20240212_021235,23.16,1010.34
20240212_021238,23.33,1004.55
20240212_021241,23.10,1013.80
20240212_021244,22.99,1015.54
20240212_021247,23.30,1005.38
20240212_021250,23.27,1009.79
20240212_021253,23.40,1012.66
20240212_021256,23.34,1007.20
20240212_021259,23.27,1008.62
20240212_021302,23.24,1004.92
20240212_021305,23.27,1008.38
20240212_021308,23.24,1002.29
20240212_021311,23.33,1008.10
20240212_021314,23.32,1014.33
20240212_021317,23.20,1004.74
20240212_021320,23.14,1005.11
20240212_021323,23.14,1001.12
20240212_021326,23.19,1008.88
20240212_021329,23.27,1012.72
20240212_021332,23.14,1018.72
20240212_021335,23.11,1005.22
20240212_021338,23.13,1001.82
20240212_021341,23.35,1001.89
20240212_021344,23.23,1004.98
20240212_021347,23.17,1002.68
20240212_021350,23.12,1010.34
20240212_021353,23.13,1012.88
20240212_021356,23.14,1011.30
20240212_021359,23.03,1002.22
20240212_021402,23.15,1004.59
20240212_021405,23.12,1004.02
20240212_021408,23.25,1009.32
20240212_021411,23.03,1015.66
20240212_021414,23.13,1006.57
20240212_021417,23.39,1009.62
20240212_021420,23.44,1005.43
20240212_021423,23.36,1004.61
20240212_021426,23.20,1004.61
20240212_021429,23.20,1023.37
20240212_021432,23.21,1008.62
20240212_021435,23.28,1001.09
20240212_021438,23.37,1008.90
20240212_021441,23.29,1001.80
20240212_021444,23.47,1004.21
20240212_021447,23.38,1011.17
20240212_021450,23.22,1007.01
20240212_021453,23.28,1006.45
20240212_021456,23.02,1004.58
20240212_021459,23.25,1006.32
20240212_021502,23.09,1000.03
20240212_021505,23.22,1011.80
20240212_021508,23.38,1002.29
20240212_021511,23.21,1005.36
20240212_021514,23.22,1007.04
20240212_021517,23.36,1012.90
20240212_021520,23.25,1005.86
20240212_021523,23.31,1004.00
20240212_021526,23.22,998.14
20240212_021529,23.41,1003.87
20240212_021532,23.22,1005.86
20240212_021535,23.36,1008.02
20240212_021538,23.31,1013.25
20240212_021541,23.28,1010.92
20240212_021544,23.20,1006.34
20240212_021547,23.20,1007.30
20240212_021550,23.45,992.10
20240212_021553,23.35,1007.60
20240212_021556,23.30,1014.85
20240212_021559,23.33,1004.79
20240212_021602,23.22,998.86
20240212_021605,23.23,1017.60
20240212_021608,23.35,1009.44
20240212_021611,23.25,1012.72
20240212_021614,23.19,1004.23
20240212_021617,23.48,1011.23
20240212_021620,23.37,1006.05
20240212_021623,23.50,1010.04
20240212_021626,23.22,1006.93
20240212_021629,23.13,1016.60
20240212_021632,23.30,1004.12
20240212_021635,23.23,1001.36
20240212_021638,23.38,1013.32
20240212_021641,23.39,1005.64
20240212_021644,23.42,1003.65
20240212_021647,23.25,1007.77
20240212_021650,23.36,1012.45
20240212_021653,23.28,998.47
20240212_021656,23.50,1001.19
20240212_021659,23.23,1008.70
20240212_021702,23.37,1010.28
20240212_021705,23.43,1004.73
20240212_021708,23.40,1009.48
20240212_021711,23.26,1012.68
20240212_021714,23.32,1013.05
20240212_021717,23.30,999.88
20240212_021720,23.39,1016.84
20240212_021723,23.42,1009.80
20240212_021726,23.44,1023.78
20240212_021729,23.36,1014.82
20240212_021732,23.26,1007.67
20240212_021735,23.41,999.18
20240212_021738,23.39,1016.22
20240212_021741,23.36,1012.45
20240212_021744,23.22,1008.69
20240212_021747,23.56,1015.68
20240212_021750,23.38,1006.15
20240212_021753,23.38,1014.58
20240212_021756,23.42,1005.11
20240212_021759,23.36,1009.28
20240212_021802,23.31,998.06
20240212_021805,23.19,1006.45
20240212_021808,23.27,1012.93
20240212_021811,23.43,1001.84
20240212_021814,23.41,1004.27
20240212_021817,23.40,1008.94
20240212_021820,23.27,1008.81
20240212_021823,23.31,1010.54
20240212_021826,23.37,1010.84
20240212_021829,23.38,1008.35
20240212_021832,23.25,1003.51
20240212_021835,23.50,1000.90
20240212_021838,23.56,1007.95
20240212_021841,23.42,1009.04
20240212_021844,23.35,1010.79
20240212_021847,23.51,1006.11
20240212_021850,23.31,1004.97
20240212_021853,23.48,998.70
20240212_021856,23.40,1010.50
20240212_021859,23.45,1003.09
20240212_021902,23.24,1008.83
20240212_021905,23.30,997.89
20240212_021908,23.46,1005.57
20240212_021911,23.39,1015.37
20240212_021914,23.25,1002.16
20240212_021917,23.45,1005.93
20240212_021920,23.49,1004.92
20240212_021923,23.44,997.68
20240212_021926,23.31,1018.09
20240212_021929,23.35,1011.92
20240212_021932,23.48,1008.30
20240212_021935,23.49,1015.85
20240212_021938,23.46,1011.01
20240212_021941,23.53,1012.96
20240212_021944,23.65,998.25
20240212_021947,23.45,1008.05
20240212_021950,23.38,1013.86
20240212_021953,23.48,1001.49
20240212_021956,23.53,1009.15
20240212_021959,23.40,1009.35
20240212_022002,23.42,1010.52
20240212_022005,23.65,1014.75
20240212_022008,23.32,1001.05
20240212_022011,23.39,1003.82
20240212_022014,23.60,1008.54
20240212_022017,23.37,1005.54
20240212_022020,23.47,1017.02
20240212_022023,23.40,1004.03
20240212_022026,23.14,1010.82
20240212_022029,23.59,1001.34
20240212_022032,23.61,1003.97
20240212_022035,23.41,1002.92
20240212_022039,23.47,1011.38
20240212_022042,23.42,1007.75
20240212_022045,23.47,1000.31
20240212_022048,23.55,1003.23
20240212_022051,23.55,1003.48
20240212_022054,23.72,999.67
20240212_022057,23.49,1003.86
20240212_022100,23.36,1007.37
20240212_022103,23.53,1017.25
20240212_022106,23.58,1011.69
20240212_022109,23.56,1009.82
20240212_022112,23.47,1007.13
20240212_022115,23.45,1006.77
20240212_022118,23.46,1012.61
20240212_022121,23.44,1007.96
20240212_022124,23.50,1008.44
20240212_022127,23.37,1005.27
20240212_022130,23.38,1012.61
20240212_022133,23.38,1005.24
20240212_022136,23.57,1010.00
20240212_022139,23.59,1004.54
20240212_022142,23.43,1016.92
20240212_022145,23.55,1004.39
20240212_022148,23.68,1004.82
20240212_022151,23.60,1009.16
20240212_022154,23.39,1003.36
20240212_022157,23.60,1010.89
20240212_022200,23.55,1003.68
20240212_022203,23.62,998.97
20240212_022206,23.35,1004.69
20240212_022209,23.41,1015.80
20240212_022212,23.46,1014.13
20240212_022215,23.49,1004.54
20240212_022218,23.70,1007.04
20240212_022221,23.37,1006.60
20240212_022224,23.63,1012.84
20240212_022227,23.78,1012.39
20240212_022230,23.49,1008.70
20240212_022233,23.57,1010.36
20240212_022236,23.53,1001.95
20240212_022239,23.39,1010.85
20240212_022242,23.45,1005.98
20240212_022245,23.65,1006.36
20240212_022248,23.58,1006.99
20240212_022251,23.70,1010.07
20240212_022254,23.51,1005.57
20240212_022257,23.71,1005.39
20240212_022300,23.76,1005.86
20240212_022303,23.55,1000.34
20240212_022306,23.57,1014.80
20240212_022309,23.62,1012.11
20240212_022312,23.56,1002.70
20240212_022315,23.49,1016.21
20240212_022318,23.62,1002.58
20240212_022321,23.49,1007.36
20240212_022324,23.68,1017.78
20240212_022327,23.55,1011.61
20240212_022330,23.57,1007.02
20240212_022333,23.64,1003.83
20240212_022336,23.66,1002.07
20240212_022339,23.57,1003.44
20240212_022342,23.49,1009.03
20240212_022345,23.60,1022.82
20240212_022348,23.66,1011.10
20240212_022351,23.54,995.11
20240212_022354,23.50,1000.34
20240212_022357,23.52,1007.91
20240212_022400,23.58,1006.15
